"date","variable","value","lbl","plbl","nlbl"
2022-01-01,"Other Services",0.0386734429563368,,,
2022-02-01,"Other Services",0.176430351451274,,,
2022-03-01,"Other Services",0.121751164427341,,,
2022-04-01,"Other Services",0.220221238222494,,,
2022-05-01,"Other Services",0.0256018771707906,,,
2022-06-01,"Other Services",0.129635475317875,,,
2022-07-01,"Other Services",0.168000127033742,,,
2022-08-01,"Other Services",0.124240164342063,,,
2022-09-01,"Other Services",0.159045736099287,,,
2022-10-01,"Other Services",0.142874909418514,,,
2022-11-01,"Other Services",0.255418484741007,,,
2022-12-01,"Other Services",0.146971998045293,,,
2023-01-01,"Other Services",0.228622924157498,,,
2023-02-01,"Other Services",0.0816429685171945,,,
2023-03-01,"Other Services",0.0700157075264988,,,
2023-04-01,"Other Services",0.211944208309711,,,
2023-05-01,"Other Services",0.047940041720354,,,
2023-06-01,"Other Services",0.15167335036723,,,
2023-07-01,"Other Services",0.0546041657699542,,,
2023-08-01,"Other Services",0.0696895092405623,,,
2023-09-01,"Other Services",0.205329974282633,,,
2023-10-01,"Other Services",-0.0244461643169362,,,
2023-11-01,"Other Services",0.0441388303605465,,,
2023-12-01,"Other Services",0.0941792364839447,,,
2024-01-01,"Other Services",0.202625064554566,,,
2024-02-01,"Other Services",0.0578979740749372,,,
2024-03-01,"Other Services",0.201311715093254,,,
2024-04-01,"Other Services",0.120304190891936,,,
2024-05-01,"Other Services",-0.0468578009424928,,,
2024-06-01,"Other Services",0.173494203678465,,,
2024-07-01,"Other Services",0.0614969760256266,,,
2024-08-01,"Other Services",0.0348726814542024,,,
2024-09-01,"Other Services",0.0733053701575631,,,
2024-10-01,"Other Services",0.0769322262790018,,,
2024-11-01,"Other Services",-0.00649617434519627,,,
2024-12-01,"Other Services",0.0932368438806059,,,
2025-01-01,"Other Services",0.15265706382515,,,
2025-02-01,"Other Services",0.135314913907272,,,
2025-03-01,"Other Services",0.104523140991839,,,
2025-04-01,"Other Services",0.020764555084023,,,
2025-05-01,"Other Services",0.169990913703732,,,
2025-06-01,"Other Services",-0.00978165276819839,,,
2025-07-01,"Other Services",-0.00499340439391209,,,
2025-08-01,"Other Services",0.0441806425350643,,,
2025-09-01,"Other Services",0.0641420968613188,,,
2025-10-01,"Other Services",0.0129667191006754,,"0.01",
2025-11-01,"Other Services",0.0672243079030991,"0.07","0.07",
2022-01-01,"Transportation Services",-0.0879348580643449,,,
2022-02-01,"Transportation Services",0.0682156631434183,,,
2022-03-01,"Transportation Services",0.286361440613065,,,
2022-04-01,"Transportation Services",0.127903903564966,,,
2022-05-01,"Transportation Services",0.0263432457236675,,,
2022-06-01,"Transportation Services",0.138366005738446,,,
2022-07-01,"Transportation Services",-0.0472642317107025,,,
2022-08-01,"Transportation Services",0.0745542369399426,,,
2022-09-01,"Transportation Services",0.0844510569098803,,,
2022-10-01,"Transportation Services",0.0323308355302898,,,
2022-11-01,"Transportation Services",-0.0370998081816383,,,
2022-12-01,"Transportation Services",0.0755147604056993,,,
2023-01-01,"Transportation Services",0.0661524462578714,,,
2023-02-01,"Transportation Services",0.0298984026607701,,,
2023-03-01,"Transportation Services",0.0542621295132772,,,
2023-04-01,"Transportation Services",-0.0413312239470478,,,
2023-05-01,"Transportation Services",0.0199299735055857,,,
2023-06-01,"Transportation Services",-0.000759897506609066,,,
2023-07-01,"Transportation Services",0.0663770830144905,,,
2023-08-01,"Transportation Services",-0.0034863033883929,,,
2023-09-01,"Transportation Services",0.0423053004525397,,,
